Comunidad autónoma de residencia	Concepto turístico	Tipo de dato	Periodo	Total
17 Rioja, La	Gasto medio diario por persona	Variación anual	2019T2	-0,24
17 Rioja, La	Gasto medio diario por persona	Variación anual	2019T1	11,7
17 Rioja, La	Gasto medio diario por persona	Variación anual	2018T4	18,49
17 Rioja, La	Gasto medio diario por persona	Variación anual	2018T3	12,8
17 Rioja, La	Gasto medio diario por persona	Variación anual	2018T2	10,51
17 Rioja, La	Gasto medio diario por persona	Variación anual	2018T1	6,84
17 Rioja, La	Gasto medio diario por persona	Variación anual	2017T4	-4,71
17 Rioja, La	Gasto medio diario por persona	Variación anual	2017T3	10,66
17 Rioja, La	Gasto medio diario por persona	Variación anual	2017T2	4,55
17 Rioja, La	Gasto medio diario por persona	Variación anual	2017T1	1,77
17 Rioja, La	Gasto medio diario por persona	Variación anual	2016T4	-6,05
17 Rioja, La	Gasto medio diario por persona	Variación anual	2016T3	-9,01
17 Rioja, La	Gasto medio diario por persona	Variación anual	2016T2	5,64
17 Rioja, La	Gasto medio diario por persona	Variación anual	2016T1	21,18
17 Rioja, La	Gasto medio diario por persona	Variación anual	2015T4	""
17 Rioja, La	Gasto medio diario por persona	Variación anual	2015T3	""
17 Rioja, La	Gasto medio diario por persona	Variación anual	2015T2	""
17 Rioja, La	Gasto medio diario por persona	Variación anual	2015T1	""
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2021T2	-20,38
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2021T1	-41,78
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2020T4	-33,28
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2020T3	-32,49
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2020T2	-17,26
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2020T1	-1,12
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2019T4	5,51
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2019T3	5,22
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2019T2	3,55
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2019T1	11,7
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2018T4	12,68
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2018T3	11,35
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2018T2	9,13
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2018T1	6,84
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2017T4	6,18
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2017T3	8,44
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2017T2	3,91
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2017T1	1,77
17 Rioja, La	Gasto medio diario por persona	Variación anual del acumulado en lo que va de año	2016T4	-1,76
